id,date,time,shop,category,subcategory,item,qty,unit,unit_price,amount,paid_by,notes,source,synced_at
mr3fkru7zxlc1,2026-06-27,11:53,CARGILLS FOOD CITY,Grocery,Dairy & milk,Sera Real Coconut Milk,1,pcs,210,210,cash,Invoice 49,scan,7/2/2026
mr3fkru7a3qzb,2026-06-27,11:53,CARGILLS FOOD CITY,Consumables,Toiletries,Ayush Toothpaste Anticavity,1,pcs,295,295,cash,Invoice 49,scan,7/2/2026
mr3fkru7ogvde,2026-06-27,11:53,CARGILLS FOOD CITY,Grocery,Eggs,Araliya Brown Eggs,1,pcs,560,560,cash,Invoice 49,scan,7/2/2026
mr3fkru8h7tez,2026-06-18,22:24,LAUGFS SUPERMARKET,Consumables,Medicine & pharmacy,Benof EX 100ml,1,pcs,480,480,cash,Invoice I26RJ07010836,scan,7/2/2026
mr3fkru8uyfgh,2026-06-18,22:24,LAUGFS SUPERMARKET,Consumables,Medicine & pharmacy,Azee 500mg,3,pcs,104.73,314.19,cash,Invoice I26RJ07010836,scan,7/2/2026
mr3fkru8rdsk8,2026-06-18,22:24,LAUGFS SUPERMARKET,Consumables,Medicine & pharmacy,Zeos 10mg,10,pcs,37,370,cash,Invoice I26RJ07010836,scan,7/2/2026
mr3fkru8mznac,2026-06-18,22:24,LAUGFS SUPERMARKET,Consumables,Medicine & pharmacy,Dexamethasone Tab 0.5mg,6,pcs,1.1,6.6,cash,Invoice I26RJ07010836,scan,7/2/2026
mr3fkru8bz5r2,2026-06-27,21:49,CARGILLS FOOD CITY,Consumables,Cleaning & detergents,My Choice Garbage Bag - Medium,1,pcs,335,335,cash + loyalty points,Invoice 299,scan,7/2/2026
mr3fkru8qtcy5,2026-06-27,21:49,CARGILLS FOOD CITY,Grocery,Rice,Keeri Samba Bulk,1,pcs,260,260,cash + loyalty points,Invoice 299,scan,7/2/2026
mr3fq96wu9yts,2026-06-18,22:28,LAUGFS SUPER,Grocery,Meat,Gold Chicken Sausages 150g,1,pcs,410,410,cash,Invoice L6RJ01029605,scan,7/2/2026
mr3fq96wi8ryg,2026-06-18,22:28,LAUGFS SUPER,Grocery,Bread & bakery,Crimson Bread,1,pcs,148,148,cash,Invoice L6RJ01029605,scan,7/2/2026
mr3rsrrxu6mli,2026-06-27,10:47,CEY FISH,Grocery,Fish & seafood,Kumbala,0.37,kg,1820,673.4,cash,Invoice 000028,scan,7/2/2026
mr3rsrrxe2v0l,2026-06-27,10:47,CEY FISH,Grocery,Fish & seafood,Kelawalla M,0.75,kg,1680,1260,cash,Invoice 000028,scan,7/2/2026
mr3rsrs05tez3,2026-07-02,17:26,THE FAB,Dining out,Takeaway,Chicken Sausage Pastry,1,pcs,190,190,cash,Invoice 031907227,scan,7/2/2026
mr3rsrs0clt8x,2026-07-02,17:26,THE FAB,Dining out,Takeaway,Crispy Chicken & Egg Roll,1,pcs,260,260,cash,Invoice 031907227,scan,7/2/2026
mr3tpqzr2yb0o,2026-06-06,14:21,SRINA PALACE,Consumables,Personal care,Bellavita Date Woman Deo Body Spray,1,pcs,2190,2190,card,Invoice 00000166,scan,7/2/2026
mr3tpqzri96p5,2026-06-06,14:21,SRINA PALACE,Consumables,Personal care,Tinkle Eyebrow Razor 3pcs Set,1,pcs,290,290,card,Invoice 00000166,scan,7/2/2026
mr3tpqzrwmfyp,2026-06-06,14:21,SRINA PALACE,Consumables,Personal care,Nugel Non UV Gel Nail Polish 13ml,1,pcs,980,980,card,Invoice 00000166,scan,7/2/2026
mr3tvh6z99pqs,2026-06-21,18:49,CARGILLS FOOD CITY,Grocery,Dairy & milk,Highland F/C Milk Powder,1,pcs,1150,1150,card,Invoice 227,scan,7/2/2026
mr3tvh6z94d6q,2026-06-21,18:49,CARGILLS FOOD CITY,Grocery,Rice,Samba Rice Bulk - Local,1.006,kg,235,236.41,card,Invoice 227,scan,7/2/2026
mr3tvh6zzl3x9,2026-06-21,18:49,CARGILLS FOOD CITY,Grocery,Bread & bakery,Prima Sunrise Paratha,1,pcs,760,684,card,Invoice 227,scan,7/2/2026
mr3tvh6z0pyfs,2026-06-21,18:49,CARGILLS FOOD CITY,Grocery,Tea & coffee,Nescafe Classic Bottle,1,pcs,1100,1100,card,Invoice 227,scan,7/2/2026
mr3tvh6z84rzh,2026-06-21,18:49,CARGILLS FOOD CITY,Consumables,Toiletries,Velvet Soap Rose & Milk Eco,1,pcs,525,393.75,card,Invoice 227,scan,7/2/2026
mr3tvh6zgmnut,2026-06-21,18:49,CARGILLS FOOD CITY,Grocery,Other grocery,My Choice Red Dhal Pkt,1,pcs,144,144,card,Invoice 227,scan,7/2/2026
mr3tvh70vkzmn,2026-06-21,18:49,CARGILLS FOOD CITY,Grocery,Dairy & milk,Sera Real Coconut Milk,1,pcs,210,210,card,Invoice 227,scan,7/2/2026
mr3tvh707lxla,2026-06-21,18:49,CARGILLS FOOD CITY,Grocery,Other grocery,My Choice Green Gram Pkt,1,pcs,430,430,card,Invoice 227,scan,7/2/2026
mr3tvh70xjutm,2026-06-21,18:49,CARGILLS FOOD CITY,Grocery,Other grocery,Kist Mayonnaise Pouch,1,pcs,580,580,card,Invoice 227,scan,7/2/2026
mr3tvh70idd8l,2026-06-21,18:49,CARGILLS FOOD CITY,Grocery,Meat,Chicken B/less Breast,0.158,kg,2290,361.82,card,Invoice 227,scan,7/2/2026
mr3u4pnsyj1aq,2026-05-30,21:04,LAUGFS SUPER,Grocery,Bread & bakery,Crimson Bread,1,pcs,148,148,cash,Invoice L26RJ01020649,scan,7/2/2026
mr3u4pns2ybaa,2026-05-30,21:04,LAUGFS SUPER,Grocery,Bread & bakery,Crimson Viyana Bun,1,pcs,85,85,cash,Invoice L26RJ01020649,scan,7/2/2026
mr3u4pns1wqem,2026-05-30,21:04,LAUGFS SUPER,Grocery,Dairy & milk,Fresh Coconut Milk 200ml,2,pcs,99,198,cash,Invoice L26RJ01020649,scan,7/2/2026
mr3u4pntrn1ey,2026-06-07,10:41,SUPOSHA,Grocery,Bread & bakery,Suposha 700g,2,pcs,590,1180,cash,Invoice 0000445,scan,7/2/2026
mr3u4pntyufai,2026-06-07,10:41,SUPOSHA,Grocery,Bread & bakery,Suposha Aggala (4-Pack),1,pcs,160,160,cash,Invoice 0000445,scan,7/2/2026
mr3u4pntl2vgk,2026-06-07,10:41,SUPOSHA,Grocery,Snacks & biscuits,Chocolate Cup Cake (01 Pack),1,pcs,110,110,cash,Invoice 0000445,scan,7/2/2026
mr3u4pntcbaz9,2026-06-07,10:41,SUPOSHA,Grocery,Tea & coffee,CF Tea Cup,2,pcs,50,100,cash,Invoice 0000445,scan,7/2/2026
b1yyq4jo-0-n90mr5,2026-07-03,13:26,LADY J,Other,Miscellaneous,Money Plant M,1,pcs,390,390,card,Invoice 100000107,scan,7/3/2026
b1yyq4jo-1-n90mr5,2026-07-03,13:26,LADY J,Other,Miscellaneous,Money Plant M,1,pcs,390,390,card,Invoice 100000107,scan,7/3/2026
b1yyq4jo-2-4ogvwb,2026-07-03,13:26,LADY J,Non-consumables,Furniture,Wooden Rack M-CE840,1,pcs,1590,1590,card,Invoice 100000107,scan,7/3/2026
b1yyq4jo-3-1n3ojao,2026-07-03,13:26,LADY J,Non-consumables,Kitchenware,Bottle-AJ202,6,pcs,150,900,card,Invoice 100000107,scan,7/3/2026
b1yyq4jo-4-oyh7ob,2026-07-03,13:26,LADY J,Non-consumables,Kitchenware,Bottle Spice-AJ209,1,pcs,90,90,card,Invoice 100000107,scan,7/3/2026
b1yyq4jo-5-oyh7ob,2026-07-03,13:26,LADY J,Non-consumables,Kitchenware,Bottle Spice-AJ209,1,pcs,90,90,card,Invoice 100000107,scan,7/3/2026
b1yyq4jo-6-1w5yejy,2026-07-03,13:26,LADY J,Non-consumables,Kitchenware,Bottle 1pcs-AJ206,3,pcs,220,660,card,Invoice 100000107,scan,7/3/2026
b1yyq4jo-7-t4fyjt,2026-07-03,13:26,LADY J,Other,Miscellaneous,Flower Pot-7PLJ-010,1,pcs,950,950,card,Invoice 100000107,scan,7/3/2026
b1yyq4jo-8-1sna4ix,2026-07-03,13:26,LADY J,Non-consumables,Clothing,L/Blouse-B1026,1,pcs,1550,1550,card,Invoice 100000107,scan,7/3/2026
b1yyq4jo-9-1rr1jxa,2026-07-03,13:26,LADY J,Non-consumables,Clothing,L/Short (Rowan),1,pcs,550,550,card,Invoice 100000107,scan,7/3/2026
mr555ogd5p92m,2026-07-03,21:51,,Energy,Petrol,Petrol,19.323,L,414,7999.72,cash,,manual,7/4/2026
b1g6yo0i-0-1nfa3lc,2026-07-03,10:48,PickMe,Transport,Taxi / PickMe / Uber,Taxi ride - Rajagiriya to Colombo 08,1,pcs,313.82,313.82,cash,,scan,7/4/2026
bqzqom6-0-1x5m71k,2026-07-03,14:05,PickMe,Transport,Taxi / PickMe / Uber,Taxi ride - Colombo 10 to Colombo 08,1,pcs,685.94,685.94,cash,,scan,7/4/2026
mr9gug5zgkxng,2026-07-06,9:00,Keells,Dining out,Takeaway,Omelette Bun,1,pcs,180,180,cash,Invoice 5224002,scan,7/6/2026
mr9gug5z2ll0a,2026-07-06,9:00,Keells,Dining out,Takeaway,Egg Bun,1,pcs,160,160,cash,Invoice 5224002,scan,7/6/2026
mr9gug5z941tl,2026-07-06,9:00,Keells,Grocery,Beverages,Milo Food Drink Chocolate Tetra 180ml,2,pcs,130,260,cash,Invoice 5224002,scan,7/6/2026
mr9gug60zd5t2,2026-07-06,19:37,CARGILLS FOOD CITY,Grocery,Eggs,Happy Hen Eggs Large,1,pcs,580,580,cash,Invoice SEWWANDI No: 66,scan,7/6/2026
mr9gug6028bxw,2026-07-06,19:37,CARGILLS FOOD CITY,Grocery,Snacks & biscuits,Prima Sunrise Shawarma,1,pcs,660,660,cash,Invoice SEWWANDI No: 66,scan,7/6/2026
mr9gug60unbk8,2026-07-06,19:37,CARGILLS FOOD CITY,Consumables,Cleaning & detergents,Flora Mini Serviette,1,pcs,200,200,cash,Invoice SEWWANDI No: 66,scan,7/6/2026
mr9gug60to1q7,2026-07-06,19:37,CARGILLS FOOD CITY,Grocery,Salt & spices,Raigam Isi Cooking Salt,1,pcs,140,140,cash,Invoice SEWWANDI No: 66,scan,7/6/2026
mr9gug60y5qfj,2026-07-06,19:37,CARGILLS FOOD CITY,Grocery,Meat,Prima Whole Chicken W.GIB 1KG,0.932,kg,1350,1258.2,cash,Invoice SEWWANDI No: 66,scan,7/6/2026
mr9gug60mtxuy,2026-07-06,19:37,CARGILLS FOOD CITY,Grocery,Flour & grains,MDK STR Hopper Flour White,1,pcs,295,295,cash,Invoice SEWWANDI No: 66,scan,7/6/2026
mr9gug60anu7y,2026-07-06,19:37,CARGILLS FOOD CITY,Consumables,Toiletries,Swabha Cey Shampoo Anti Dandruff,1,pcs,585,585,cash,Invoice SEWWANDI No: 66,scan,7/6/2026
mr9gug60skkpd,2026-07-06,19:37,CARGILLS FOOD CITY,Consumables,Personal care,Janet Wild Straw Lip Balm,1,pcs,330,330,cash,Invoice SEWWANDI No: 66,scan,7/6/2026
mr9gug60pplhu,2026-07-06,19:37,CARGILLS FOOD CITY,Grocery,Dairy & milk,Highland Plain Yoghurt,4,pcs,80,320,cash,Invoice SEWWANDI No: 66,scan,7/6/2026
mr9gug60c20ct,2026-07-06,19:37,CARGILLS FOOD CITY,Consumables,Cleaning & detergents,Brightex Sponge Scrub,1,pcs,420,420,cash,Invoice SEWWANDI No: 66,scan,7/6/2026
mr9gug60du2ns,2026-07-06,19:37,CARGILLS FOOD CITY,Grocery,Vegetables,Selected Big Onion,0.84,kg,330,277.2,cash,Invoice SEWWANDI No: 66,scan,7/6/2026
mr9gug62mzs48,2026-06-27,12:20,GPK,Grocery,Vegetables,Karawila (Bitter Gourd),0.27,kg,1000,270,cash,Invoice 000008,scan,7/6/2026
mr9gug622ver0,2026-06-27,12:20,GPK,Grocery,Vegetables,Gherkin (small cucumber),0.33,kg,800,264,cash,Invoice 000008,scan,7/6/2026
mr9gug62gz3ya,2026-06-27,12:20,GPK,Grocery,Vegetables,Thakkali (Tomato),0.12,kg,800,96,cash,Invoice 000008,scan,7/6/2026
b1kgtshd-0-13qv5oq,2026-07-07,21:51,CARGILLS FOOD CITY,Grocery,Snacks & biscuits,Munchee Milk Short Cake,1,pcs,120,120,cash,Invoice 318,scan,7/7/2026
b1kgtshd-1-1ljihg8,2026-07-07,21:51,CARGILLS FOOD CITY,Grocery,Dairy & milk,Highland Plain Curd,1,pcs,420,420,cash,Invoice 318,scan,7/7/2026
b1nyztjx-0-ij6ds6,2026-07-07,16:07,CARGILLS FOOD CITY,Consumables,Stationery,Mango Writing Paper A4,2,pcs,270,459,cash,Invoice 145,scan,7/7/2026
bxbzshg-0-ygvt4f,2026-07-12,22:35,THE SANCTUARII,Dining out,Restaurant,Hyderabadi Biryani,1,pcs,1990,1990,cash,Invoice 79,scan,7/13/2026
bxbzshg-1-lx3ce0,2026-07-12,22:35,THE SANCTUARII,Dining out,Restaurant,Lime Juice,1,pcs,790,790,cash,Invoice 79,scan,7/13/2026
b1u88ypr-0-1qoroyv,2026-07-11,15:06,CARGILLS FOOD CITY,Consumables,Personal care,Lipice S/Color Ardent Lip Balm,1,pcs,1690,1690,cash,Invoice 2865092,scan,7/13/2026
b1u88ypr-1-62dq23,2026-07-11,15:06,CARGILLS FOOD CITY,Water,Bottled water,Knuckles Drinking Water,1,pcs,100,100,cash,Invoice 2865092,scan,7/13/2026
b1u88ypr-2-oj32kb,2026-07-11,15:06,CARGILLS FOOD CITY,Grocery,Eggs,Nel Farms Eggs Medium,1,pcs,560,560,cash,Invoice 2865092,scan,7/13/2026
b1u88ypr-3-15yz6hv,2026-07-11,15:06,CARGILLS FOOD CITY,Consumables,Cleaning & detergents,Vim Dish Wash Spouted Pouch,1,pcs,325,260,cash,Invoice 2865092,scan,7/13/2026
b1u88ypr-4-1nh7r0t,2026-07-11,15:06,CARGILLS FOOD CITY,Grocery,Salt & spices,Catch Biriyani Whole Spice Mix,1,pcs,100,100,cash,Invoice 2865092,scan,7/13/2026
b1u88ypr-5-s4mcoy,2026-07-11,15:06,CARGILLS FOOD CITY,Grocery,Salt & spices,My Choice Cinnamon,1,pcs,490,490,cash,Invoice 2865092,scan,7/13/2026
b1u88ypr-6-xkhahl,2026-07-11,15:06,CARGILLS FOOD CITY,Consumables,Personal care,Natures Vit C Serum Skin/Radi,1,pcs,1690,1690,cash,Invoice 2865092,scan,7/13/2026
b1fxf806-0-1440ech,2026-07-11,14:14,SAHANA VEGEMART,Grocery,Vegetables,Pumpkin,0.525,kg,280,147,cash,Invoice 000136,scan,7/13/2026
b1fxf806-1-1mb58bu,2026-07-11,14:14,SAHANA VEGEMART,Grocery,Vegetables,Potatoes,0.475,kg,400,190,cash,Invoice 000136,scan,7/13/2026
b1fxf806-2-15ti9rv,2026-07-11,14:14,SAHANA VEGEMART,Grocery,Vegetables,Beetroot,0.22,kg,600,132,cash,Invoice 000136,scan,7/13/2026
b1fxf806-3-1n9q0gt,2026-07-11,14:14,SAHANA VEGEMART,Grocery,Vegetables,Leeks,0.095,kg,560,53.2,cash,Invoice 000136,scan,7/13/2026
b1fxf806-4-1mmxfm0,2026-07-11,14:14,SAHANA VEGEMART,Grocery,Vegetables,Carrot,0.205,kg,560,114.8,cash,Invoice 000136,scan,7/13/2026
b1fxf806-5-1vz2st1,2026-07-11,14:14,SAHANA VEGEMART,Grocery,Vegetables,Kesell Muwa (Banana flower),0.45,kg,280,126,cash,Invoice 000136,scan,7/13/2026
b1fxf806-6-1qmcbfb,2026-07-11,14:14,SAHANA VEGEMART,Grocery,Vegetables,Japanese Cucumber,0.225,kg,600,135,cash,Invoice 000136,scan,7/13/2026
b1fxf806-7-feum3k,2026-07-11,14:14,SAHANA VEGEMART,Grocery,Vegetables,Lime,0.145,kg,800,116,cash,Invoice 000136,scan,7/13/2026
b1fxf806-8-1c7034j,2026-07-11,14:14,SAHANA VEGEMART,Grocery,Vegetables,Beans,0.105,kg,600,63,cash,Invoice 000136,scan,7/13/2026
bc2f771-0-vmwflj,2026-07-11,13:31,2ndhandbooks.lk,Non-consumables,Books,Fiction / Non Fiction Books,1,pcs,1500,1500,cash,Invoice INV-1-26-07-04066,scan,7/13/2026
b1j970t1-0-fzgzzl,2026-07-04,,Kithul Products,Grocery,Sugar,"Kithul products (treacle/jaggery, no itemization)",,pcs,,3900,cash,,scan,7/13/2026
b1gsjyvs-0-8ijqji,2026-07-04,,Udispattuwa Vegetable Store,Grocery,Vegetables,"Vegetables (mixed, no itemization)",,pcs,,490,cash,,scan,7/13/2026
b1w0zdhj-0-1gwi913,2026-07-08,21:32,LAUGFS SUPERMARKET,Grocery,Bread & bakery,Crimson Bread,1,pcs,148,148,cash,Invoice I26RJ09053382,scan,7/13/2026
b12kaxy0-0-1b39bhu,2026-07-08,21:28,LAUGFS SUPERMARKET,Consumables,Medicine & pharmacy,Rapisol 500mg,10,pcs,3.49,34.9,cash,Invoice I26RJ07013860,scan,7/13/2026
b6vways-0-1maffqe,2026-07-17,19:00,PERERA AND SONS,Dining out,Takeaway,Dosai,1,pcs,140,140,cash,Invoice 288-688334,scan,7/18/2026
b6vways-1-1x879uu,2026-07-17,19:00,PERERA AND SONS,Dining out,Takeaway,Sultana Bun,1,pcs,80,80,cash,Invoice 288-688334,scan,7/18/2026
b1ixho1q-0-1cxawc2,2026-07-14,14:49,CARGILLS FOOD CITY,Grocery,Snacks & biscuits,Munchee Malt Up Biscuits,3,pcs,100,300,card,Invoice 130,scan,7/18/2026
b1ixho1q-1-fbiuo0,2026-07-14,14:49,CARGILLS FOOD CITY,Consumables,Stationery,Rotomac Ten Pen Set - 3 Blue,1,pcs,75,75,card,Invoice 130,scan,7/18/2026
b1ixho1q-2-fcliln,2026-07-14,14:49,CARGILLS FOOD CITY,Grocery,Snacks & biscuits,Munchee Malt Up Choco Biscuit,1,pcs,120,120,card,Invoice 130,scan,7/18/2026
b1ixho1q-3-ccvyzi,2026-07-14,14:49,CARGILLS FOOD CITY,Grocery,Dairy & milk,Ambewela Fresh Milk,2,pcs,140,280,card,Invoice 130,scan,7/18/2026
b1ixho1q-4-1ngssr,2026-07-14,14:49,CARGILLS FOOD CITY,Grocery,Dairy & milk,Silvermill Coconut Milk,1,pcs,375,375,card,Invoice 130,scan,7/18/2026
b15l41pt-0-18js0nw,2026-07-13,23:19,SLT MOBITEL,Services,Mobile & telephone,SLT Mobitel Bill Payment,1,pcs,3000.46,3000.46,online,Invoice XQA17839648309411,scan,7/18/2026
mrzumbi34wyya,2026-07-25,,,Energy,Petrol,Petrol,,pcs,,7000,cash,,manual,7/25/2026
b1hkk31c-0-1w3oxxm,2026-07-22,,CIB SHOPPING CENTRE,Non-consumables,Clothing,Yoyo Crushed Y001 Fabric,2.5,m,1075,2687.5,card,Invoice 223109072618,scan,7/25/2026
b1hkk31c-1-kgdhkl,2026-07-22,,CIB SHOPPING CENTRE,Non-consumables,Clothing,Poplin Fabric,1,m,290,290,card,Invoice 223109072618,scan,7/25/2026
b13jzslq-0-340qw4,2026-07-25,9:17,PERERA AND SONS,Dining out,Takeaway,Fish Bun,2,pcs,110,220,cash,Invoice 288-691955,scan,7/25/2026
b13jzslq-1-ejugpo,2026-07-25,9:17,PERERA AND SONS,Dining out,Takeaway,Chicken Sausage Pastry,2,pcs,140,280,cash,Invoice 288-691955,scan,7/25/2026
bjp2s4k-0-1ja5pkh,2026-07-25,9:06,UNION CHEMISTS (PTE) LTD,Consumables,Medicine & pharmacy,Meftal Tabs 500gm,10,tabs,16.87,168.7,cash,Invoice 2332168,scan,7/25/2026
btlvw0e-0-1maffqe,2026-07-24,18:12,PERERA AND SONS,Dining out,Takeaway,Dosai,1,pcs,140,140,cash,Invoice 288-691796,scan,7/25/2026
btlvw0e-1-1jspcml,2026-07-24,18:12,PERERA AND SONS,Dining out,Takeaway,Masala Wadei,1,pcs,120,120,cash,Invoice 288-691796,scan,7/25/2026
b1sd528w-0-tp6344,2026-07-22,,Dehiwala-Galkissa Municipal Council,Transport,Parking & tolls,Vehicle parking fee,1,pcs,70,70,cash,Invoice 06768,scan,7/25/2026
b16jrqr1-0-a41cmh,2026-07-18,23:11,LAUGFS SUPERMARKET,Grocery,Vegetables,Green Chilies,0.14,kg,1848,258.72,cash,Invoice I26RJ09059574 CS:2018112,scan,7/25/2026
b16jrqr1-1-11r2ial,2026-07-18,23:11,LAUGFS SUPERMARKET,Grocery,Other grocery,Edinborough Mustard Cream 165g,1,pcs,380,380,cash,Invoice I26RJ09059574 CS:2018112,scan,7/25/2026
b16jrqr1-2-r4k12t,2026-07-18,23:11,LAUGFS SUPERMARKET,Grocery,Bread & bakery,Crimson Bread Crumbs 500g,1,pcs,300,300,cash,Invoice I26RJ09059574 CS:2018112,scan,7/25/2026
b16jrqr1-3-1q3agt0,2026-07-18,23:11,LAUGFS SUPERMARKET,Grocery,Vegetables,Edinborough Tomato Sauce Pouch,1,pcs,360,360,cash,Invoice I26RJ09059574 CS:2018112,scan,7/25/2026
bsrp6eg-0-vhiczk,2026-07-09,,SHALWAR BRIDES,Non-consumables,Clothing,"Saree/Shalwar (handwritten, illegible description)",1,pcs,,12900,cash,Invoice 143,scan,7/25/2026
b18k8s7c-0-ti3at5,2026-07-18,12:51,M.D. GUNASENA,Consumables,Stationery,Pen (Atlas Glyde) Blue,5,pcs,40,200,card,Invoice 181018072612,scan,7/25/2026
b18k8s7c-1-1qmk2jp,2026-07-18,12:51,M.D. GUNASENA,Consumables,Stationery,Pen (Atlas Sharp) Blue 0.7mm,2,pcs,30,60,card,Invoice 181018072612,scan,7/25/2026
b1cv6bz3-0-1s4p4md,2026-07-18,12:41,THE FASHION STORE,Non-consumables,Other non-consumable,Hand Bag S038-B2-2,1,pcs,2690,2690,card,Invoice 00000045,scan,7/25/2026
b1cv6bz3-1-11cks2s,2026-07-18,12:41,THE FASHION STORE,Non-consumables,Clothing,Ladies Casual Short 119,1,pcs,1390,1390,card,Invoice 00000045,scan,7/25/2026
b1cv6bz3-2-4sdke2,2026-07-18,12:41,THE FASHION STORE,Non-consumables,Clothing,Ladies Casual Top H002-MQTOP-015,1,pcs,1490,745,card,Invoice 00000045,scan,7/25/2026
b1cv6bz3-3-qcypsn,2026-07-18,12:41,THE FASHION STORE,Non-consumables,Clothing,Ladies Casual T-Shirt 276,1,pcs,890,890,card,Invoice 00000045,scan,7/25/2026
b1cv6bz3-4-1msep1c,2026-07-18,12:41,THE FASHION STORE,Non-consumables,Kitchenware,Place Mat N025-JS1-603-9,3,pcs,490,1470,card,Invoice 00000045,scan,7/25/2026
bqydi0r-0-1g5ydqs,2026-07-18,12:43,THE FASHION STORE,Non-consumables,Other non-consumable,CM Trender Sunglasses 009,1,pcs,1490,1490,card,Invoice 00000046,scan,7/25/2026
bcobitz-0-bpj078,2026-07-18,13:45,KEELLS,Grocery,Eggs,Nel Farm Brown Eggs Medium 10s,1,pack,560,560,cash,Invoice 4125650,scan,7/25/2026
bcobitz-1-18ashnd,2026-07-18,13:45,KEELLS,Grocery,Salt & spices,Wijaya Curry Powder 100g,1,pack,230,230,cash,Invoice 4125650,scan,7/25/2026
bcobitz-2-1bjf09c,2026-07-18,13:45,KEELLS,Grocery,Dairy & milk,Highland Curd Plastic Tub Plain 510g,1,tub,420,420,cash,Invoice 4125650,scan,7/25/2026
bcobitz-3-esfhw3,2026-07-18,13:45,KEELLS,Grocery,Salt & spices,Keells Coriander Powder 100g,1,pack,110,110,cash,Invoice 4125650,scan,7/25/2026
bcobitz-4-54ocek,2026-07-18,13:45,KEELLS,Consumables,Cleaning & detergents,Lifebuoy H/Wash Kitchen F. Refill 180ml,1,pack,350,350,cash,Invoice 4125650,scan,7/25/2026
bcobitz-5-1ddlhxb,2026-07-18,13:45,KEELLS,Grocery,Vegetables,Kekiri,0.284,kg,160,45.44,cash,Invoice 4125650,scan,7/25/2026
bcobitz-6-om633m,2026-07-18,13:45,KEELLS,Grocery,Sugar,Brown Sugar Bulk,1.116,kg,255,284.58,cash,Invoice 4125650,scan,7/25/2026
bcobitz-7-ezzbpl,2026-07-18,13:45,KEELLS,Grocery,Vegetables,Garlic,0.146,kg,850,124.1,cash,Invoice 4125650,scan,7/25/2026
bcobitz-8-1biowfs,2026-07-18,13:45,KEELLS,Grocery,Meat,New Anthonys Pre Cut Whole Chicken,1.46,kg,1495,2182.7,cash,Invoice 4125650,scan,7/25/2026
bcobitz-9-1ms1e1l,2026-07-18,13:45,KEELLS,Grocery,Vegetables,Carrot,0.236,kg,380,89.68,cash,Invoice 4125650,scan,7/25/2026
bcobitz-10-eh9kpb,2026-07-18,13:45,KEELLS,Grocery,Meat,Raigam Soya Meat Fried & Devld Prawn 110g,1,pack,190,190,cash,Invoice 4125650,scan,7/25/2026
bcobitz-11-18waxz4,2026-07-18,13:45,KEELLS,Grocery,Dairy & milk,Sera Real Coconut Milk 180ml,2,pack,210,420,cash,Invoice 4125650,scan,7/25/2026
bcobitz-12-d9u2w3,2026-07-18,13:45,KEELLS,Grocery,Snacks & biscuits,Ritzbury Tropica Chocolate 13g,2,pcs,40,80,cash,Invoice 4125650,scan,7/25/2026
bcobitz-13-1py3zsz,2026-07-18,13:45,KEELLS,Grocery,Vegetables,Bitter Gourd,0.23,kg,500,115,cash,Invoice 4125650,scan,7/25/2026
bcobitz-14-13jepl2,2026-07-18,13:45,KEELLS,Grocery,Vegetables,Green Chilies,0.042,kg,1850,77.7,cash,Invoice 4125650,scan,7/25/2026
